PI-        4.913847
PI0        0.622252
GAMMA      0.181976
GAMMA      0.796054
GAMMA      1.946507
GAMMA      0.324263
GAMMA      0.220891
GAMMA      0.061177
GAMMA      0.192155
B_DBAR0   27.694250
TAU-       9.364506
D+        15.409226
GAMMA      0.074733
GAMMA      0.269040
GAMMA      0.063656
GAMMA      0.282014
GAMMA      1.726567
GAMMA      2.083886
GAMMA      0.234179
GAMMA      0.054956
GAMMA      0.521268
GAMMA      0.115456
MU-        4.216293
NU_TAU     1.862430
NU_E       3.514002
E+         2.318738
KBAR0      9.676666
K_L0       9.676666
PI0        0.588948
PI+        6.876627
PI+        0.376123
DH_1-      9.345643
GAMMA      0.029223
GAMMA      0.574994
D*-        7.749538
PI0        1.644146
DBAR0      7.213315
PI-        0.537732
GAMMA      0.523751
GAMMA      1.125925
K+         1.695785
A_1-       5.549555
RHO-       2.502584
PI0        3.062892
PI-        2.308810
PI0        0.273884
GAMMA      1.443605
GAMMA      1.622261
GAMMA      0.040233
GAMMA      0.265105
K-         3.613127
K*+        4.212332
PI-        0.521959
PI+       15.122011
PI-        1.580524
RHO+      13.025024
P          0.545484
DLTABR--   1.642952
SIGMA*0    5.605445
SGMA       9.334332
A_1-      16.766661
K+        11.846164
KBAR0      1.921396
PI0        2.945196
PI+        0.428060
PI0        0.533009
K+         3.829545
PI0        0.423443
PI+        1.064650
PI0       11.973243
PBAR       1.043781
PI-        0.634896
LAMBDA     4.024681
PI0        1.591526
LAMBDABR   7.151476
PI0        2.194202
RHO0      16.195808
PI-        0.581088
K_L0       1.921396
GAMMA      1.467980
GAMMA      1.480308
GAMMA      0.485296
GAMMA      0.064539
GAMMA      0.413463
GAMMA      0.030974
GAMMA      1.699626
GAMMA     10.274377
P          3.120996
PI-        0.906802
GAMMA      1.043533
GAMMA      0.553708
PBAR       5.608725
PI+        1.545028
GAMMA      0.124053
GAMMA      2.074297
PI+        7.692468
PI-        8.519225
GAMMA      0.079848
K+         5.522034
K*BAR0     3.523963
OMEGA      2.123652
PI-        1.823225
PI0        0.347404
A_1+       2.931775
DELTA-     5.144792
DELTABR+   4.976677
SIGMA*0    1.130202
SIGMABR+   0.983482
PI-        3.363475
PI+        2.770031
RHO0       1.657658
PI-        1.025536
B_10       2.434630
B_1+       7.627896
PHI        6.023574
KH_1BAR0   4.258712
RHO-       1.479335
K+         3.486134
K*+        1.470667
K*BAR0     3.156047
K*_20      8.259280
K*-        3.043216
PI-        0.464430
ETA        8.084970
KBAR0      1.812227
PI0        1.751600
PI+        1.559159
PI-        0.361929
PI0        0.278776
GAMMA      0.330592
GAMMA      0.042113
RHO0       2.688493
PI+        0.356400
N          4.650912
PI-        0.527217
NBAR       4.180345
PI+        0.830626
SIGMA0     1.078210
PI-        0.116158
NBAR       0.639142
PI+        0.388878
PI+        1.189771
PI-        0.614178
OMEGA      1.417367
PI0        1.100470
OMEGA      7.381116
PI+        0.269988
K_L0       3.130955
K_S0       2.896521
K*-        3.738024
PI+        0.788017
PI-        1.380506
PI0        0.245534
K+         0.765374
PI0        0.797742
K-         2.585642
PI+        0.633250
K0         5.963182
PI0        0.614205
PI0        1.764639
K-         2.883253
